,fullname,id,likes,replies,retweets,text,timestamp,user
1237,Sandeep Shenoy,921301709577531392,0,0,0,#Malala #shamed for ' #wearing #skinny #jeans' https://ca.style.yahoo.com/malala-yousafzai-shamed-wearing-skinny-jeans-heels-class-160917679.html …?,2017-10-20T09:06:59,hitech_guru
1238,Azim Fazil,921308121443852288,0,0,0,Malala Yousafzai trolled for 'wearing skinny jeans at Oxford University' http://www.independent.co.uk/news/uk/malala-yousafzai-jeans-photo-trolled-twitter-oxford-university-a8007791.html …,2017-10-20T09:32:27,AzimFazil
1239,zainuddin kakar,921308602316582914,0,0,0,Trollers don't leave any opportunity of criticism on #Malala  despite knowing that wearing jeans is common in pak. @BushraGohar @Malala,2017-10-20T09:34:22,zainuddin_kakar
1240,जग्गा डाकू,921314356855324672,0,0,0,tum mein se kitne aise hai jo MALALA ko jeans mein nahi dekhna chahte.kyun acchi lagti hai.jeans to ekdum acchi thi.i mean dressing sense,2017-10-20T09:57:14,JAGGA1313
1241,Sarah,921321980825161728,1,1,0,Are you against Malala wearing jeans and shoes? No sarcasm here.,2017-10-20T10:27:32,HAPPYBIGGS
1242,capitalmexico.com.mx,921329652395794432,0,0,0,Supuesta foto de Malala con jeans se viraliza en redes sociales http://bit.ly/2hQDMPX pic.twitter.com/1Cexfq5BwI,2017-10-20T10:58:01,CapitalMexico
1243,HOLA! USA,921330158761635840,0,0,0,"Malala Yousafzai, blanco de críticas por usar jeans y tacones https://goo.gl/Q7JiEM ",2017-10-20T11:00:01,USAHOLA
1244,24 HORAS,921331669776437248,3,0,3,.@Malala Yousafzai se encuentra en medio de la polémica luego de aparecer con jeans ajustados y tacones http://bit.ly/2zlFErf pic.twitter.com/aqijFodAwS,2017-10-20T11:06:02,diario24horas
1245,Luqman Gul kakakhel,921331784901636097,0,0,0,Agar pant pehne se log islam se kharij hote phr to pakistan ke andar kafi larkian jeans pehanti ha sirf malala ko q critics kia ja raha ha,2017-10-20T11:06:29,kakakhel007
1246,MARTIN'S NKONKO WA K,921334493973221377,0,0,0,"Malala Yousafzai Nearly Died For Girls’ Education. Today, She Started At Oxford. | @scoopit http://sco.lt/94cetV ",2017-10-20T11:17:15,MARTINSJEANM
1247,MARTIN'S NKONKO WA K,921334552936812544,0,0,0,"Malala Yousafzai Nearly Died For Girls’ Education. Today, She Started At Oxford. | MARTIN'S.IMMIAFRIKA http://fb.me/1n48a4PYK ",2017-10-20T11:17:29,MARTINSJEANM
1248,Kate Bryan,921338689820733440,0,0,0,"Women and girls should be able to wear whatever they want. ""#Malala trolled for wearing skinny jeans at Oxford."" http://www.independent.co.uk/news/uk/malala-yousafzai-jeans-photo-trolled-twitter-oxford-university-a8007791.html?amp …",2017-10-20T11:33:55,katembryan
1249,Rodrigo Alan,921339037746716672,0,0,0,"A Malala la molestan por ir a la universidad con Jeans. 

Oye ké",2017-10-20T11:35:18,Alaanls
1250,Mohammed Kiani,921339499640164354,0,0,0,"Malala Yousefzai
Wellcome Oxford,to our city .
We are proud of you.",2017-10-20T11:37:09,flyer1954
1251,Hartburn Videos,921342132601982976,0,0,0,"Nobel da Paz, Malala é aceita na Universidade de Oxford http://www.portalminas.com/news/nobel-da-paz-malala-e-aceita-na-universidade-de-oxford?uid=68099 …pic.twitter.com/SZg5uNq59z",2017-10-20T11:47:36,totalpornsites
1252,Colibrí de la Noche,921346422229929985,0,0,0,.Malala Yousafzai se encuentra en medio de la polémica luego de aparecer con jeans ajustados y tacones… https://twitter.com/i/web/status/921331669776437248 …,2017-10-20T12:04:39,ColibriNoche
1253,vijayrana,921355342621167616,1,0,0,Malala Yousafzai targeted on social media for wearing ‘skinny jeans & heels’ at Oxford http://fb.me/zzDdvgpI ,2017-10-20T12:40:06,vijayrana
1254,fillipe Alves,921355712680419331,1,0,0,"A Malala sobreviveu a monte de merda,fez várias coisas fodas e agora tem q aturar crítica pq ela quer usar salto e calça jeans....GENTE",2017-10-20T12:41:34,Boletossauro
