0,fullname,id,likes,replies,retweets,text,timestamp,user,date,time,pos,neg,neu,comp
19379,Faria,9.13E+17,7,0,4,@TheMahiraKhan you need to give a lot of Sadqa. You need to be more protective. Bohut nazraien hain Mahi!,2017-09-27T05:59:40,FariaSays,27/9/2017,5:59:40,0,0,1,0
19380,Ahmed Saeed Losar,9.13E+17,0,0,1,WISH pAk cinema booms more.,2017-09-27T06:02:42,Losargujjar,27/9/2017,6:02:42,0.462,0,0.538,0.5319
19381,Santanu RoyChowdhury,9.13E+17,0,1,0,Yes some of us definitely avoid non veg . But those who avoid non-veg it's their choice. We don't force anybody to consume veg.1/2,2017-09-27T06:07:13,SantanuRoyC,27/9/2017,6:07:13,0.137,0.162,0.701,-0.1779
19382,Santanu RoyChowdhury,9.13E+17,0,1,0,Everybody has his own choice and please let them live with their own choice at least they are not hurting your religion.,2017-09-27T06:08:47,SantanuRoyC,27/9/2017,6:08:47,0.186,0,0.814,0.5511
19383,pak zindabad,9.13E+17,0,0,0,Judwa2 will not stop it.,2017-09-27T06:12:07,pakzindabad05,27/9/2017,6:12:07,0.321,0,0.679,0.2235
19384,Rohit Bharti,9.13E+17,0,0,0,Suggest me one of your best movie which I should watch @TheMahiraKhan,2017-09-27T06:13:30,Rohitkrbharti,27/9/2017,6:13:30,0.296,0,0.704,0.6369
19385,Bilad Khan,9.13E+17,0,0,0,"Yar ap tu pta nai kyu kench rhi itni bat ko?? Simple sa keh diya tha she is representative of Pakistan so tanqeed krna bnta hai,",2017-09-27T06:18:27,BiladKhan33,27/9/2017,6:18:27,0,0,1,0
19386,Erum,9.13E+17,0,0,0,"https://youtu.be/tmhs1Y3TqhY  i am nobdy to judge someoneby on hiis/her religious views, i was giving my opion without mentioning anyone !",2017-09-27T06:18:29,EramAltaf19,27/9/2017,6:18:29,0.144,0,0.856,0.4003
19387,pindi is  ❤️,9.13E+17,0,0,0,I was expecting above reply too ,2017-09-27T06:18:37,waseemliaqatt,27/9/2017,6:18:37,0,0,1,0
19388,Amara Shah,9.13E+17,14,5,5,"I wish those who bark at @TheMahiraKhan and @Malala , someday raise their voice against forced marriages of women.",2017-09-27T06:19:21,ShahAmara_,27/9/2017,6:19:21,0.13,0.145,0.725,-0.0772
19389,Erum,9.13E+17,0,2,0,"I never said someone hurting religion , i just answered u i am not stopping anyone from living their life according to them",2017-09-27T06:19:28,EramAltaf19,27/9/2017,6:19:28,0.188,0,0.812,0.4023
19390,Bilad Khan,9.13E+17,0,1,0,"Chay chars pee ly, drink kary ice pee ly, ap itni tension mai kyu hain?? Bat us ke ho rhi",2017-09-27T06:20:11,BiladKhan33,27/9/2017,6:20:11,0.281,0.086,0.633,0.7399
